TickerSymbol,Date,Price_1T,Price_2T
DDD,2010-01-04,3.96199994087219,3.96199994087219
DDD,2010-01-11,3.96199994087219,3.96199994087219
DDD,2010-01-18,4.17000017166138,3.96199994087219
DDD,2010-01-25,3.94333356618881,4.17000017166138
DDD,2010-02-01,3.63533339500427,3.94333356618881
DDD,2010-02-08,3.839333152771,3.63533339500427
DDD,2010-02-15,4.10866656303406,3.839333152771
DDD,2010-02-22,4.26333355903625,4.10866656303406
DDD,2010-03-01,4.55466680526733,4.26333355903625
DDD,2010-03-08,4.95000019073486,4.55466680526733
DDD,2010-03-15,4.89600009918213,4.95000019073486
DDD,2010-03-22,4.91933317184448,4.89600009918213
DDD,2010-03-29,4.87533321380615,4.91933317184448
DDD,2010-04-05,4.6708333492279,4.87533321380615
DDD,2010-04-12,4.67200002670288,4.6708333492279
DDD,2010-04-19,4.6966667175293,4.67200002670288
DDD,2010-04-26,4.90599994659424,4.6966667175293
DDD,2010-05-03,5.22733335494995,4.90599994659424
DDD,2010-05-10,4.97466688156128,5.22733335494995
DDD,2010-05-17,5.13199977874756,4.97466688156128
DDD,2010-05-24,4.59199991226196,5.13199977874756
DDD,2010-05-31,4.42666664123535,4.59199991226196
DDD,2010-06-07,4.30833327770233,4.42666664123535
DDD,2010-06-14,4.04600019454956,4.30833327770233
DDD,2010-06-21,4.43333320617676,4.04600019454956
DDD,2010-06-28,4.39866666793823,4.43333320617676
DDD,2010-07-05,4.21333332061768,4.39866666793823
DDD,2010-07-12,3.92999994754791,4.21333332061768
DDD,2010-07-19,4.05599999427795,3.92999994754791
DDD,2010-07-26,4.21599988937378,4.05599999427795
DDD,2010-08-02,4.80799989700317,4.21599988937378
DDD,2010-08-09,5.23600015640259,4.80799989700317
DDD,2010-08-16,4.93399991989136,5.23600015640259
DDD,2010-08-23,4.59400005340576,4.93399991989136
DDD,2010-08-30,4.26200008392334,4.59400005340576
DDD,2010-09-06,4.38333349227905,4.26200008392334
DDD,2010-09-13,4.35416674613953,4.38333349227905
DDD,2010-09-20,4.7946665763855,4.35416674613953
DDD,2010-09-27,4.97733345031738,4.7946665763855
DDD,2010-10-04,5.1453332901001,4.97733345031738
DDD,2010-10-11,5.41666679382324,5.1453332901001
DDD,2010-10-18,5.96199998855591,5.41666679382324
DDD,2010-10-25,6.23799991607666,5.96199998855591
DDD,2010-11-01,7.29933319091797,6.23799991607666
DDD,2010-11-08,9.04733333587646,7.29933319091797
DDD,2010-11-15,8.90866680145264,9.04733333587646
DDD,2010-11-22,8.82666664123535,8.90866680145264
DDD,2010-11-29,9.52833342552185,8.82666664123535
DDD,2010-12-06,9.6079999923706,9.52833342552185
DDD,2010-12-13,10.0913331985474,9.6079999923706
DDD,2010-12-20,10.0926670074463,10.0913331985474
DDD,2010-12-27,10.8908333778381,10.0926670074463
DDD,2011-01-03,10.646000289917,10.8908333778381
DDD,2011-01-10,10.2586666107178,10.646000289917
DDD,2011-01-17,10.0219999313354,10.2586666107178
DDD,2011-01-24,9.96333312988281,10.0219999313354
DDD,2011-01-31,9.58000011444092,9.96333312988281
DDD,2011-02-07,9.70866680145264,9.58000011444092
DDD,2011-02-14,10.8793336868286,9.70866680145264
DDD,2011-02-21,13.4780000686646,10.8793336868286
DDD,2011-02-28,15.6841666698456,13.4780000686646
DDD,2011-03-07,16.6446666717529,15.6841666698456
DDD,2011-03-14,15.7966665267944,16.6446666717529
DDD,2011-03-21,14.5600002288818,15.7966665267944
DDD,2011-03-28,14.7179998397827,14.5600002288818
DDD,2011-04-04,16.0299999237061,14.7179998397827
DDD,2011-04-11,18.4939998626709,16.0299999237061
DDD,2011-04-18,16.5066669464111,18.4939998626709
DDD,2011-04-25,16.5083327293396,16.5066669464111
DDD,2011-05-02,15.9059999465942,16.5083327293396
DDD,2011-05-09,13.0113332748413,15.9059999465942
DDD,2011-05-16,12.9633333206177,13.0113332748413
DDD,2011-05-23,12.0833330154419,12.9633333206177
DDD,2011-05-30,12.396000289917,12.0833330154419
DDD,2011-06-06,12.7300000190735,12.396000289917
DDD,2011-06-13,11.9279998779297,12.7300000190735
DDD,2011-06-20,11.960000038147,11.9279998779297
DDD,2011-06-27,12.4533332824707,11.960000038147
DDD,2011-07-04,12.8146669387817,12.4533332824707
DDD,2011-07-11,14.4900000095367,12.8146669387817
DDD,2011-07-18,15.3546667098999,14.4900000095367
DDD,2011-07-25,17.0853338241577,15.3546667098999
DDD,2011-08-01,15.6826662063599,17.0853338241577
DDD,2011-08-08,12.9186666488647,15.6826662063599
DDD,2011-08-15,11.2079999923706,12.9186666488647
DDD,2011-08-22,11.4146667480469,11.2079999923706
DDD,2011-08-29,11.0053333282471,11.4146667480469
DDD,2011-09-05,11.7813331604004,11.0053333282471
DDD,2011-09-12,11.1733336448669,11.7813331604004
DDD,2011-09-19,11.2893335342407,11.1733336448669
DDD,2011-09-26,10.2279998779297,11.2893335342407
DDD,2011-10-03,10.0239999771118,10.2279998779297
DDD,2011-10-10,10.1093332290649,10.0239999771118
DDD,2011-10-17,11.4013334274292,10.1093332290649
DDD,2011-10-24,11.2146663665771,11.4013334274292
DDD,2011-10-31,11.7920000076294,11.2146663665771
DDD,2011-11-07,10.9506669998169,11.7920000076294
DDD,2011-11-14,10.939999961853,10.9506669998169
DDD,2011-11-21,11.1946666717529,10.939999961853
DDD,2011-11-28,9.99333333969116,11.1946666717529
DDD,2011-12-05,10.2506664276123,9.99333333969116
DDD,2011-12-12,10.4386669158936,10.2506664276123
DDD,2011-12-19,9.93733348846436,10.4386669158936
