TickerSymbol,Date,Price
A,2020-09-21,97.5380004882813
A,2020-09-28,100.380001831055
A,2020-10-05,103.710000610352
A,2020-10-12,105.585998535156
A,2020-10-19,105.773999023437
A,2020-10-26,103.287998962402
A,2020-11-02,108.727998352051
A,2020-11-09,110.344000244141
A,2020-11-16,109.129998779297
A,2020-11-23,113.832498550415
A,2020-11-30,115.112001037598
A,2020-12-07,117.020001220703
A,2020-12-14,117.92799987793
A,2020-12-21,117.440000534058
A,2020-12-28,117.735000610352
A,2021-01-04,122.87200012207
A,2021-01-11,126.867999267578
A,2021-01-18,127.197500228882
A,2021-01-25,121.986000061035
A,2021-02-01,122.684001159668
A,2021-02-08,125.334001159668
A,2021-02-15,128.154998779297
A,2021-02-22,123.021998596191
A,2021-03-01,119.710000610352
A,2021-03-08,119.836000061035
A,2021-03-15,122.967999267578
A,2021-03-22,122.794000244141
A,2021-03-29,126.272499084473
A,2021-04-05,130.595999145508
A,2021-04-12,132.814001464844
A,2021-04-19,134.2
A,2021-04-26,135.281997680664
A,2021-05-03,132.751995849609
A,2021-05-10,130.619998168945
A,2021-05-17,130.704000854492
A,2021-05-24,135.105996704102
A,2021-05-31,137.009998321533
A,2021-06-07,140.623999023438
A,2021-06-14,144.905996704102
A,2021-06-21,146.846002197266
A,2021-06-28,148.231997680664
A,2021-07-05,149.332500457764
A,2021-07-12,149.060000610352
A,2021-07-19,149.688000488281
A,2021-07-26,151.511999511719
A,2021-08-02,154.388000488281
A,2021-08-09,157.391998291016
A,2021-08-16,164.360003662109
A,2021-08-23,172.254000854492
A,2021-08-30,176.989999389648
A,2021-09-06,177.72749710083
A,2021-09-13,173.101998901367
A,2021-09-20,172.07799987793
A,2021-09-27,159.960000610352
A,2021-10-04,153.366000366211
A,2021-10-11,150.810000610352
A,2021-10-18,156.579998779297
A,2021-10-25,157.007998657227
A,2021-11-01,157.433999633789
A,2021-11-08,159.939999389648
A,2021-11-15,161.433999633789
A,2021-11-22,155.650001525879
A,2021-11-29,150.570001220703
A,2021-12-06,154.489999389648
A,2021-12-13,152.939999389648
A,2021-12-20,154.740001678467
A,2021-12-27,159.819998168945
A,2022-01-03,150.107998657227
A,2022-01-10,146.231997680664
A,2022-01-17,139.472496032715
A,2022-01-24,135.069998168945
A,2022-01-31,141.5
A,2022-02-07,140.895999145508
A,2022-02-14,133.714001464844
A,2022-02-21,129.592498779297
A,2022-02-28,133.301998901367
A,2022-03-07,131.511999511719
A,2022-03-14,133.760000610352
A,2022-03-21,136.745999145508
A,2022-03-28,135.120001220703
A,2022-04-04,134.315997314453
A,2022-04-11,127.844997406006
A,2022-04-18,125.269998168945
A,2022-04-25,119.479998779297
A,2022-05-02,122.300001525879
A,2022-05-09,115.849998474121
A,2022-05-16,122.340000915527
A,2022-05-23,125.034001159668
A,2022-05-30,127.060001373291
A,2022-06-06,125.615997314453
A,2022-06-13,115.286000061035
A,2022-06-20,116.892499923706
A,2022-06-27,118.701998901367
A,2022-07-04,121.85000038147
A,2022-07-11,119.144000244141
A,2022-07-18,121.252000427246
A,2022-07-25,128.470001220703
A,2022-08-01,133.329998779297
A,2022-08-08,131.896002197266
A,2022-08-15,137.309997558594
A,2022-08-22,133.225997924805
A,2022-08-29,128.315997314453
A,2022-09-05,133.387500762939
A,2022-09-12,133.941998291016
A,2022-09-19,126.642001342773
A,2022-09-26,122.386000061035
A,2022-10-03,130.009999084473
A,2022-10-10,126.175999450684
A,2022-10-17,129.528002929687
A,2022-10-24,135.950003051758
A,2022-10-31,137.010003662109
A,2022-11-07,141.67799987793
A,2022-11-14,146.426000976563
A,2022-11-21,153.577503204346
A,2022-11-28,154.001998901367
A,2022-12-05,153.401998901367
A,2022-12-12,153.592001342773
A,2022-12-19,148.641995239258
A,2022-12-26,149.594997406006
A,2023-01-02,150.372497558594
A,2023-01-09,154.855999755859
A,2023-01-16,154.564998626709
A,2023-01-23,156.485998535156
A,2023-01-30,153.864001464844
A,2023-02-06,153.220001220703
A,2023-02-13,151.185998535156
A,2023-02-20,142.474998474121
A,2023-02-27,141.451995849609
A,2023-03-06,139.821997070313
A,2023-03-13,135.823999023437
A,2023-03-20,133.673999023437
A,2023-03-27,134.47600402832
A,2023-04-03,138.047500610352
A,2023-04-10,139.076000976563
A,2023-04-17,138.429998779297
A,2023-04-24,134.129995727539
A,2023-05-01,134.510003662109
A,2023-05-08,128.601998901367
A,2023-05-15,128.01199798584
A,2023-05-22,123.725997924805
A,2023-05-29,116.970001220703
A,2023-06-05,116.57200012207
A,2023-06-12,119.960000610352
A,2023-06-19,118.647500991821
A,2023-06-26,118.01600189209
A,2023-07-03,118.5625
A,2023-07-10,119.188000488281
A,2023-07-17,122.612001037598
A,2023-07-24,127.242001342773
A,2023-07-31,124.662001037598
A,2023-08-07,127.400001525879
A,2023-08-14,122.752000427246
A,2023-08-21,118.959999084473
A,2023-08-28,121.519999694824
A,2023-09-04,116.730001449585
A,2023-09-11,114.019999694824
A,2023-09-18,111.722001647949
A,2023-09-25,111.398001098633
A,2023-10-02,110.763999938965
A,2023-10-09,111.480000305176
A,2023-10-16,110.250001525879
A,2023-10-23,105.091998291016
A,2023-10-30,104.17799987793
A,2023-11-06,108.733999633789
A,2023-11-13,112.002000427246
A,2023-11-20,122.127500534058
A,2023-11-27,126.779998779297
A,2023-12-04,128.309999084473
A,2023-12-11,133.248001098633
A,2023-12-18,138.801998901367
A,2023-12-25,139.607501983643
A,2024-01-01,132.867500305176
A,2024-01-08,131.07399597168
A,2024-01-15,130.082500457764
