TickerSymbol,Date,Price
A,2010-01-04,22.1344783782959
A,2010-01-11,21.965665435791
A,2010-01-18,21.6595129966736
A,2010-01-25,20.6909870147705
A,2010-02-01,20.9456367492676
A,2010-02-08,21.0586547851562
A,2010-02-15,22.0064373016357
A,2010-02-22,22.2861232757568
A,2010-03-01,23.2203144073486
A,2010-03-08,23.8812587738037
A,2010-03-15,23.8898426055908
A,2010-03-22,24.4048641204834
A,2010-03-29,24.6709585189819
A,2010-04-05,24.590843963623
A,2010-04-12,24.8097274780273
A,2010-04-19,25.8454933166504
A,2010-04-26,26.2045783996582
A,2010-05-03,24.6123031616211
A,2010-05-10,24.5650932312012
A,2010-05-17,23.0658084869385
A,2010-05-24,22.7811153411865
A,2010-05-31,22.6108732223511
A,2010-06-07,21.5507865905762
A,2010-06-14,23.0858364105225
A,2010-06-21,22.5851215362549
A,2010-06-28,20.6423461914063
A,2010-07-05,20.3469243049622
A,2010-07-12,20.1816883087158
A,2010-07-19,20.1230331420898
A,2010-07-26,20.510729598999
A,2010-08-02,20.3347644805908
A,2010-08-09,20.3690986633301
A,2010-08-16,20.454935836792
A,2010-08-23,19.8111587524414
A,2010-08-30,20.3147350311279
A,2010-09-06,20.6849069595337
A,2010-09-13,21.2160232543945
A,2010-09-20,22.2589412689209
A,2010-09-27,23.4649501800537
A,2010-10-04,23.6480690002441
A,2010-10-11,24.38483543396
A,2010-10-18,24.7267520904541
A,2010-10-25,24.8941345214844
A,2010-11-01,25.3633758544922
A,2010-11-08,25.6094413757324
A,2010-11-15,25.6280403137207
A,2010-11-22,25.8226037025452
A,2010-11-29,25.8927040100098
A,2010-12-06,27.0329048156738
A,2010-12-13,28.0915592193604
A,2010-12-20,29.2542915344238
A,2010-12-27,29.7768238067627
A,2011-01-03,29.7381980895996
A,2011-01-10,30.6895565032959
A,2011-01-17,30.6115875244141
A,2011-01-24,30.2517883300781
A,2011-01-31,29.9127326965332
A,2011-02-07,31.6251789093018
A,2011-02-14,31.3090129852295
A,2011-02-21,29.7657370567322
A,2011-02-28,30.5851215362549
A,2011-03-07,32.6337623596191
A,2011-03-14,30.9556507110596
A,2011-03-21,31.2961376190186
A,2011-03-28,31.978540802002
A,2011-04-04,32.2203140258789
A,2011-04-11,32.9971389770508
A,2011-04-18,34.2095851898193
A,2011-04-25,35.4563667297363
A,2011-05-02,35.6852645874023
A,2011-05-09,36.2646644592285
A,2011-05-16,36.7782539367676
A,2011-05-23,35.1645202636719
A,2011-05-30,34.5994281768799
A,2011-06-06,34.2489273071289
A,2011-06-13,34.1001434326172
A,2011-06-20,35.0529327392578
A,2011-06-27,36.1988563537598
A,2011-07-04,36.854434967041
A,2011-07-11,34.2932754516602
A,2011-07-18,33.3519317626953
A,2011-07-25,31.1931331634521
A,2011-08-01,27.5293270111084
A,2011-08-08,24.2260368347168
A,2011-08-15,24.7839771270752
A,2011-08-22,23.3676681518555
A,2011-08-29,25.815450668335
A,2011-09-05,24.51895570755
A,2011-09-12,25.489270401001
A,2011-09-19,23.6380542755127
A,2011-09-26,23.0844062805176
A,2011-10-03,22.5236053466797
A,2011-10-10,23.8669525146484
A,2011-10-17,24.1115879058838
A,2011-10-24,27.2031471252441
A,2011-10-31,26.1173107147217
A,2011-11-07,26.7353359222412
A,2011-11-14,26.9527900695801
A,2011-11-21,24.8211731910706
A,2011-11-28,26.0743919372559
A,2011-12-05,25.8154502868652
A,2011-12-12,23.8512161254883
A,2011-12-19,24.6595134735107
A,2011-12-26,24.9195280075073
A,2012-01-02,26.3000717163086
A,2012-01-09,27.8941345214844
A,2012-01-16,29.3472819328308
A,2012-01-23,30.4706722259521
A,2012-01-30,31.3047203063965
A,2012-02-06,31.9685264587402
A,2012-02-13,31.2203144073486
A,2012-02-20,30.7153072357178
A,2012-02-27,31.256079864502
A,2012-03-05,31.094421005249
A,2012-03-12,32.2145919799805
A,2012-03-19,31.8912727355957
A,2012-03-26,32.0858367919922
A,2012-04-02,31.8687405586243
A,2012-04-09,30.628039932251
A,2012-04-16,30.1831184387207
A,2012-04-23,29.5851215362549
A,2012-04-30,30.2446353912354
A,2012-05-07,28.6480682373047
A,2012-05-14,28.2589408874512
A,2012-05-21,29.0815452575684
A,2012-05-28,29.043276309967
A,2012-06-04,27.9628040313721
A,2012-06-11,28.1559368133545
A,2012-06-18,28.6251792907715
A,2012-06-25,27.3190277099609
A,2012-07-02,27.8594422340393
A,2012-07-09,26.5894134521484
A,2012-07-16,26.9742492675781
A,2012-07-23,26.1788265228271
A,2012-07-30,27.3977111816406
A,2012-08-06,28.8226036071777
A,2012-08-13,28.0000003814697
A,2012-08-20,26.6938484191895
A,2012-08-27,26.5736766815186
A,2012-09-03,26.7685980796814
A,2012-09-10,27.4234619140625
A,2012-09-17,28.2246063232422
A,2012-09-24,27.5121601104736
A,2012-10-01,27.8640914916992
A,2012-10-08,27.048641204834
A,2012-10-15,26.5436340332031
A,2012-10-22,25.666667175293
A,2012-10-29,26.2494036356608
A,2012-11-05,26.7896995544434
A,2012-11-12,25.8726753234863
A,2012-11-19,26.1999282836914
A,2012-11-26,27.0972816467285
A,2012-12-03,27.3018600463867
A,2012-12-10,28.3862659454346
A,2012-12-17,29.3462085723877
A,2012-12-24,29.0468525886536
A,2012-12-31,29.9910593032837
A,2013-01-07,30.788268661499
A,2013-01-14,31.1659511566162
A,2013-01-21,31.9903426170349
A,2013-01-28,32.0872673034668
A,2013-02-04,32.108727645874
A,2013-02-11,31.5879825592041
A,2013-02-18,30.164520740509
A,2013-02-25,29.6709587097168
